,Unnamed:0,Sëmundje,stërvitje
0,0,Infeksion mykotik,Shmangni ushqimet me sheqer
1,1,Infeksion mykotik,Konsumoni probiotikë
2,2,Infeksion mykotik,Rritja e marrjes së hudhrës
3,3,Infeksion mykotik,Përfshiko sin në diet
4,4,Infeksion mykotik,Kufizoni ushqimet e përpunuara
5,5,Infeksion mykotik,Qëndroni të hidratuar
6,6,Infeksion mykotik,Konsumoni çaj jeshil
7,7,Infeksion mykotik,Hani ushqimet e pasura me zin
8,8,Infeksion mykotik,Përfshi shafranin Indisë në diet
9,9,Infeksion mykotik,Hani fruta dhe perime
10,10,Alergji,Shmangni ushqimet Alergjike
11,11,Alergji,Konsumoni ushqime anti-inflamatore
12,12,Alergji,Përfshini acide të yndyrnore omega-3
13,13,Alergji,Qëndroni të hidratuar
14,14,Alergji,Hani ushqimet e pasura me vitaminë C
15,15,Alergji,Përfshi ushqimet e pasura me kuercetinë
16,16,Alergji,Konsumoni mjaltë vendas
17,17,Alergji,Kufizoni ushqimet e përpunuara
18,18,Alergji,Përfshi xhenxhefilin në diet
19,19,Alergji,Shmangni aditivët artificialë
20,20,GERD,Konsumoni vakte më të vogla
21,21,GERD,Shmangni ushqimet nxitëse
22,22,GERD,Hani ushqime me fibra të larta
23,23,GERD,Kufizoni kafeinën dhe alkoolin
24,24,GERD,Përtypni ushqimin tërësisht
25,25,GERD,Shmangni ngrënien në atë sfonë
26,26,GERD,Konsumoni fruta jo agrume
27,27,GERD,Përfshini proteina të lehta
28,28,GERD,Qëndroni të hidratuar
29,29,GERD,Shmangni pijet e gazuara
30,30,Kolestaza kronike,Konsumoni një diet me pak yndyrë
31,31,Kolestaza kronike,Hani ushqime me fibra të larta
32,32,Kolestaza kronike,Përfshi yndyrna të shëndetshme
33,33,Kolestaza kronike,Kufizoni konsumimin e alkoolit
34,34,Kolestaza kronike,Qëndroni të hidratuar
35,35,Kolestaza kronike,Konsumoni ushqimet e pasura me antioksidantë
36,36,Kolestaza kronike,Përfshi acide yndyrore omega-3
37,37,Kolestaza kronike,Përfshi proteina të lehta
38,38,Kolestaza kronike,Kufizoni ushqimet e përpunuara
39,39,Kolestaza kronike,Shmangni ushqimet e skuqura
40,40,Reagimi i drogës,Ndërprisni mjekimin ofendues
41,41,Reagimi i drogës,Qëndroni të hidratuar
42,42,Reagimi i drogës,Përfshi ushqime anti-inflamatore
43,43,Reagimi i drogës,Konsumoni antioksidantë
44,44,Reagimi i drogës,Shmangni ushqimet nxitëse
45,45,Reagimi i drogës,Përfshi acide yndyrore omega-3
