Sëmundje,përshkrimi
Infeksion mykotik,Infeksionifungalështënjëgjendjeezakonshmeelëkurëseshkaktuarngakërpudhat.
Alergji,Alergjiaështënjëreagimisistemitimunitarndajnjësubstancenëmjedis.
GERD,GERD(Sëmundjaerefluksitgastroezofageal)ështënjëçrregullimitretjesqëpreksfinkterineposhtëmtëezofagut.
Kolestaza kronike,Kolestaza kronikeështënjëgjendjekurrjedhjaebiliarengamëlçiareduktohetpërnjëperiudhëtëzgjatur.
Reagimi i drogës,Reagimiidrogësndodhkurtrupireagonnegativishtndajnjëmedikamenti.
Sëmundja e ulçerës peptike,Sëmundja e ulçerës peptikepërfshinplagëqëzhvillohennështresënebrendshmetëstomakutdhezorrëvetëvogla.
SIDA,SIDA(SindromaeImunodefiçencëssëFituar)ështënjësëmundjeeshkaktuarngaHIVqëdobësonsisteminimunitar.
Diabeti,Diabetiështënjëgjendjekronikeqëndikonnëmënyrënsesitrupipërpunonsheqerinnëgjak.
Gastroenteriti,Gastroenteritiështënjëinflamacionistomakutdheizorrëve.
Astma bronkiale,Astma bronkialeështënjëgjendjerespiratoreekarakterizuarngainflamacioniirrugëvetëfrymëmarrjes.
Hipertensioni,hipertensioniosepresioniilartëigjakut.
Migrena,Migrenaështënjëllojdhimbje_kokeqëshpeshpërfshindhimbjetëfortadhendjeshmërindajdritësdhezërit.
Spondiloza e qafës së mitrës,Spondiloza e qafës së mitrësështënjëgjendjedegjenerativeeshtyllëskurrizoretëqafëssëmitrës.
Paraliza (hemorragjia e trurit),Paraliza (hemorragjia e trurit)ireferohethumbjessëfunksionittëmuskujvepërshkaktëgjakderdhjesnëtru.
Verdhëza,Verdhëzaështënjënjollëeverdhëelëkurësdheesyve.
Malaria,Malariaështënjësëmundjeinfektiveeshkaktuarngamushkonjatqëpreknjerëzitdhekafshëtetjera.
Lija e dhenve,Liaedhenveështënjëinfeksionviralshumëngjitësqëshkaktonnjëskuqjemekruarje.
Dengue,Denguështënjëinfeksionviralitransmetuarngamushkonjatqëshkaktonsimptomatëngjashmemegripin.
Tifoja,Tifojaështënjëinfeksionbakterialqëmundtëçojënëtemperaturëtëlartëdhesimptomagastrointestinale.
hepatiti A,Hepatiti Aështënjësëmundjeviraleemëlçisë.
Hepatiti B,Hepatiti Bështënjëinfeksionviralqësulmonmëlçinë.
Hepatiti C,Hepatiti Cështënjëinfeksionviralqëshkaktoninflamaciontëmëlçisë.
Hepatiti D,Hepatiti DështënjësëmundjeseriozeemëlçisëeshkaktuarngavirusiihepatititD.
Hepatiti E,Hepatiti Eështënjëinfeksionviralqëshkaktoninflamaciontëmëlçisë.
Hepatiti alkoolik,Hepatiti alkoolikështëinflamacionimëlçisëpërshkaktëkonsumimittëalkoolit.
Tuberkulozi,Tuberkuloziështënjëinfeksionbakterialqëprekkryesishtmushkëritë.
Ftohja e zakonshme,Ftohja e zakonshmeështënjëinfeksionviralitraktittësipërmrespirator.
Pneumonia,Pneumoniaështënjëgjendjeinflamatoreqëprekqeseteajritnëmushkëri.
Hemorroidetdimorfike (grumbullat),hemorroidetdimorfike(grumbullat)ështënjëgjendjeekarakterizuarngaenëtegjakuttëfryranërektum.
Sulmi në zemër,Sulmi në zemërështënjëreduktimipapriturdheirëndëirrjedhjessëgjakutnëmuskulinezemrës.
Venat me variçe,Venat me variçejanëvenatezmadhuara.
Hipotireoza,Hipotireozaështënjëgjendjekugjëndratiroidenukprodhonmjaftueshëmhormonetiroide.
Hipertiroidizmi,Hipertiroidizmiështënjëgjendjekugjëndratiroideprodhonshumëhormonetiroide.
Hipoglicemia,Hipoglicemiaështënjëgjendjeekarakterizuarnganiveleanormaletëulëtatësheqeritnëgjak.
Osteoartroza,Osteoartrozaështënjësëmundjedegjenerativeekyçeveqëprekkërcinnënyje.
Artriti,Artritiështëinflamacioninjëosemëshumënyjeve.
(vertigo) VertigoPozicionaleParoymsal,(Vertigo)VertigoPozicionaleParoksizmaleështënjëllojmarramendjejeeshkaktuarngalëvizjespecifiketëkokës.
Aknet,aknetjanënjëgjendjeelëkurësqëshfaqetkurfoliiflokëvekleratbllokohenmevajdheqelizatëvdekuratëlëkurës.
Infeksioni i traktit urinar,Infeksioni i traktit urinar është një infeksion në çdo pjesë të sistemit urinar.
Psoriasis,Psoriasisështënjëgjendjekronikeelëkurësekarakterizuarnganjollatëkuqe.
Impetigo,Impetigoështënjëinfeksionshumëngjitësilëkurësqëshkaktonplagëtëkuqeqëmundtëhapen.
