,Sëmundje,Simptomë_1,Simptomë_2,Simptomë_3,Simptomë_4
0,Infeksion mykotik,kruarje,skuqje_lëkure,shpërthimet_e_lëkurës_nyjore,njolladiskromike
1,Infeksion mykotik,Skuqja_e_lëkurës,shpërthimet_e_lëkurës_nyjore,njolladiskromike,
2,Infeksion mykotik,kruarje,shpërthimet_e_lëkurës_nyjore,njolladiskromike,
3,Infeksion mykotik,kruarje,Skuqja_e_lëkurës,njolladiskromike,
4,Infeksion mykotik,kruarje,Skuqja_e_lëkurës,shpërthimet_e_lëkurës_nyjore,
5,Infeksion mykotik,Skuqja_e_lëkurës,shpërthimet_e_lëkurës_nyjore,njolladiskromike,
6,Infeksion mykotik,kruarje,shpërthimet_e_lëkurës_nyjore,njolladiskromike,
7,Infeksion mykotik,kruarje,Skuqja_e_lëkurës,njolladiskromike,
8,Infeksion mykotik,kruarje,Skuqja_e_lëkurës,shpërthimet_e_lëkurës_nyjore,
9,Infeksion mykotik,kruarje,skuqje_lëkure,shpërthimet_e_lëkurës_nyjore,njolladiskromike
10,Alergji,teshtitje_e_vazhdueshme,dridhje,dridhje,lotim_ngasyte
11,Alergji,dridhje,të_dridhura,lotim_nga_sytë,
12,Alergji,teshtitjetëvazhdueshme,të_dridhura,lotimngasytë,
13,Alergji,teshtitjetëvazhdueshme,dridhje,lotimngasytë,
14,Alergji,teshtitjetëvazhdueshme,dridhje,të_dridhura,
15,Alergji,dridhje,të_dridhura,lotimngasytë,
16,Alergji,teshtitjetëvazhdueshme,të_dridhura,lotimngasytë,
17,Alergji,teshtitjetëvazhdueshme,dridhje,lotimngasytë,
18,Alergji,teshtitjetëvazhdueshme,dridhje,të_dridhura,
19,Alergji,teshtitje_e_vazhdueshme,dridhje,dridhje,lotim_ngasyte
20,GERD,dhimbje_barku,aciditeti,ulçera_në_gjuhë,të_vjella
21,GERD,dhimbje_barku,ulçera_në_gjuhë,të_vjella,kollë
22,GERD,dhimbje_barku,aciditeti,të_vjella,kollë
23,GERD,dhimbje_barku,aciditeti,ulçera_në_gjuhë,kollë
24,GERD,dhimbje_barku,aciditeti,ulçera_në_gjuhë,të_vjella
25,GERD,dhimbje_barku,aciditeti,ulçera_në_gjuhë,të_vjella
26,GERD,aciditeti,ulçera_në_gjuhë,të_vjella,kollë
27,GERD,dhimbje_barku,ulçera_në_gjuhë,të_vjella,kollë
28,GERD,dhimbje_barku,aciditeti,të_vjella,kollë
29,GERD,dhimbje_barku,aciditeti,ulçera_në_gjuhë,kollë
30,Kolestaza kronike,kruarje,të_vjella,lëkura_e_kuqe,nauze
31,Kolestaza kronike,të_vjella,lëkura_e_kuqe,nauze,humbja_e_oreksit
32,Kolestaza kronike,kruarje,lëkura_e_kuqe,nauze,humbja_e_oreksit
33,Kolestaza kronike,kruarje,të_vjella,tëpërziera,humbje_e_oreksi
34,Kolestaza kronike,kruarje,të_vjella,lëkura_e_kuqe,humbja_e_oreksit
35,Kolestaza kronike,kruarje,të_vjella,lëkurëtëverdhë,tëpërzier
36,Kolestaza kronike,kruarje,të_vjella,lëkura_e_kuqe,nauze
37,Kolestaza kronike,kruarje,të_vjella,lëkurëtëverdhë,tëpërzier
38,Kolestaza kronike,kruarje,të_vjella,lëkurëtëverdhë,tëpërzier
39,Kolestaza kronike,kruarje,të_vjella,lëkurëtëverdhë,tëpërzier
40,Reagim i drogës,kruarje,Skuqja_e_lëkurës,dhimbje_barku,djegie
41,Reagim i drogës,kruarje,dhimbje_stomaku,djegie_mikturim,njolla_urinim
42,Reagim i drogës,kruarje,skuqje_lëkure,djegie_mikturim,njolla_urinim
43,Reagim i drogës,kruarje,Skuqja_e_lëkurës,dhimbje_barku,njolla_urinim
44,Reagim i drogës,kruarje,Skuqja_e_lëkurës,dhimbje_barku,djegie
45,Reagim i drogës,skuqje_lëkure,dhimbje_stomaku,djegie_mikturim,njolla_urinim
46,Reagim i drogës,kruarje,dhimbje_stomaku,djegie_mikturim,njolla_urinim
47,Reagim i drogës,kruarje,skuqje_lëkure,djegie_mikturim,njolla_urinim
48,Reagim i drogës,kruarje,Skuqja_e_lëkurës,dhimbje_barku,njolla_urinim
49,Reagim i drogës,kruarje,Skuqja_e_lëkurës,dhimbje_barku,djegie
50,Sëmundja e ulçerës peptike,të_vjella,humbja_e_oreksit,barku_dhimbja,kalimii_gazeve
51,Sëmundja e ulçerës peptike,të_vjella,dispepsi,dhimbje_barku,kalimigazrave
52,Sëmundja e ulçerës peptike,dispepsi,humbja_e_oreksit,dhimbje_barku,kalimiigazrave
