,Unnamed:0,Sëmundje,stërvitje
0,0,Infeksion mykotik,Shmangniushqimetmesheqer
1,1,Infeksion mykotik,Konsumoniprobiotikë
2,2,Infeksion mykotik,Rritjaemarrjessëhudhrës
3,3,Infeksion mykotik,Përfshikosinnëdietë
4,4,Infeksion mykotik,Kufizoniushqimetepërpunuara
5,5,Infeksion mykotik,Qëndronitëhidratuar
6,6,Infeksion mykotik,Konsumoniçajjeshil
7,7,Infeksion mykotik,Haniushqimetëpasuramezink
8,8,Infeksion mykotik,PërfshishafranineIndisënëdietë
9,9,Infeksion mykotik,Hanifrutadheperime
10,10,Alergji,ShmangniushqimetAlergjike
11,11,Alergji,Konsumoniushqimeanti-inflamatore
12,12,Alergji,Përfshiniacidetyndyroreomega-3
13,13,Alergji,Qëndronitëhidratuar
14,14,Alergji,HaniushqimetëpasuramevitaminëC
15,15,Alergji,Përfshiushqimetëpasuramekuercetinë
16,16,Alergji,Konsumonimjaltëvendas
17,17,Alergji,Kufizoniushqimetepërpunuara
18,18,Alergji,Përfshixhenxhefilinnëdietë
19,19,Alergji,Shmangniaditivëtartificialë
20,20,GERD,Konsumonivaktemëtëvogla
21,21,GERD,Shmangniushqimetnxitëse
22,22,GERD,Haniushqimemefibratëlarta
23,23,GERD,Kufizonikafeinëndhealkoolin
24,24,GERD,Përtypniushqimintërësisht
25,25,GERD,Shmangningrënienenatësvonë
26,26,GERD,Konsumonifrutajoagrume
27,27,GERD,Përfshiniproteinateligët
28,28,GERD,Qëndronitëhidratuar
29,29,GERD,Shmangnipijetegazuara
30,30,Kolestaza kronike,Konsumoninjëdietëmepakyndyrë
31,31,Kolestaza kronike,Haniushqimemefibratëlarta
32,32,Kolestaza kronike,Përfshiyndyrnatëshëndetshme
33,33,Kolestaza kronike,Kufizonikonsumiminealkoolit
34,34,Kolestaza kronike,Qëndronitëhidratuar
35,35,Kolestaza kronike,Konsumoniushqimetëpasurameantioksidantë
36,36,Kolestaza kronike,Përfshiacideyndyroreomega-3
37,37,Kolestaza kronike,Përfshiproteinateligët
38,38,Kolestaza kronike,Kufizoniushqimetepërpunuara
39,39,Kolestaza kronike,Shmangniushqimeteskuqura
40,40,Reagimindajdrogës,Ndërprisnimjekiminofendues
41,41,Reagimindajdrogës,Qëndronitëhidratuar
42,42,Reagimiidrogës,Përfshiushqimeanti-inflamatore
43,43,Reagimiidrogës,Konsumoniantioksidantë
44,44,Reagimindajdrogës,Shmangniushqimetnxitëse
45,45,Reagimiidrogës,Përfshiniacidetyndyroreomega-3
